eng,dua
Christian parents put their children 's spiritual well - being ahead of personal preferences .,Bayedi be Kriste ̱ n ba mawe ̱ le ̱ ja la bwam la mudī la bana babu oboso ba nje babo ̱ mo ̱ me ̱ ne ̱ ba to ̱ ndino ̱ .
Those decisions will reveal that we strive to be followers of Christ .,Be bedomsedi be me ̱ nde ̱ lee ̱ le ̱ ná di mapo ̱ ngo ̱ miwe ̱ n o be ̱ babupe ̱ Kristo .
We are the only Witnesses they are exposed to .,Biso ̱ mo ̱ me ̱ ne ̱ mō ̱ nde je Mboṅ a Yehova ba bino ̱ .
"With Robert Wallen , Charles Molohan , and Don Adams","Biso ̱ na Robert Walen , Cale Molohan , na Don Adams"
The congregation might have continued to be wary of Paul were it not for a Christian from Cyprus named Joseph .,Bonasango ba si ta te ̱ nde ba lakisane ̱ Paulo . Nde munasango mō ̱ ńa Kipro nu belabe ̱ ná Yoses a ta ongwane ̱ mo ̱ .
That includes taking in knowledge by reading and meditating on God 's Word and Bible - based publications .,"Di masengane ̱ nde mo ̱ tongwea na bolanga b 'Eyal 'a Loba na ba kalati i se ̱ medi o Bibe ̱ l , na dutea pe ̱ o nje di langino ̱ ."
"May we be determined to benefit ourselves by attending the Memorial on March 31 , 2018 .",Di no ̱ nge bedomsedi ba jukea o Jo ̱ nge ̱ le ̱ la kwed 'a Yesu la 31 má So ̱ ṅe ̱ 2018 .
"We were summoned to the deputy warden 's office , fully expecting that our sentences would be extended .",Di ta di te ̱ se ̱ be ̱ oboso ba sango a beboa nu londe ̱ baba .
This article gives us good reasons to sing out joyfully and offers some suggestions for improving our singing voice .,Din jokwa di mabola biso ̱ njo ̱ m ya bwam ya lo ̱ ngo ̱ na muńe ̱ nge ̱ . Di mabola pe ̱ biso ̱ malea mō ̱ ma ne ̱ ni po ̱ ngulane ̱ doi lasu ná di lo ̱ nge ńai a bwam .
Consider the prospect of welcoming back millions from the dead and helping to educate them about Jehovah 's ways as well as the history of his dealings with mankind .,Dutea pe ̱ ońola kasa la lodun lo mapo ̱ o bepumbwedi na jongwane ̱ o jokwe ̱ le ̱ babo ̱ jombwea mangea ma Yehova na beboledi bao o mbasanedi ma mbel 'a moto . ( Yes .
"Yes , he promoted true worship . - 2 Chron .","E , a boli jowe ̱ la mbale ̱ di biane ̱ . - 2 Mya ."
"We certainly need faith in God , not doubting his willingness and ability to help us to be wise .","E mapula ye ̱ ke ̱ i te ̱ ná di dube ̱ Loba , esibe ̱ dinga penda ná a be ̱ n ńo ̱ ngi na ngudi o jongwane ̱ biso ̱ ná di be ̱ dibie ̱ ."
"My parents ' example and the training they gave us had a deep , favorable impact on us children .","Eyembilan a baye ̱ mba na belongedi ba bolino ̱ biso ̱ , ba ta ba be ̱ ne ̱ ngińa ninde ̱ ne ̱ omo ̱ ń a biso ̱ bana ."
There is no question about that .,Je mbaki na nika . ( Mat .
Read Ephesians 4 : 26 .,Langa Efeso 4 : 26 .
"God expects you to exercise headship lovingly , in imitation of Jesus .",Loba a mengane ̱ wa ná o be ̱ sango a mboa ńe ndolo nu membilane ̱ Yesu .
"There were many things I thought I could never do , but with Jehovah 's help I did them successfully . "" - Karen","Mambo jita ma ta mena no ̱ nge ̱ le ̱ no ̱ ná na titi ná ná bola to ̱ buńa , nde na jongwane ̱ la Yehova na tongwe ̱ le ̱ o bola mo ̱ bwam . "" - Karen"
"The early sections of his journal were dark and gloomy , but his more recent entries were different .","Mapapa mao maboso ma si wusa langabe ̱ , nde ma mabupe ̱ ma ta diwengisan ."
There is no set age at which one should get baptized .,Mimbu to ̱ mō ̱ mi te ̱ se ̱ be ̱ ońola dubise ̱ mi titi .
""" The audience was electrified , "" recalled Ray Bopp .","Munasango Ray Bop mo ̱ ná , "" bukedi ba ta buba . """
I remember another time when the service group stopped for a break at a fast - food restaurant .,Na dia pe ̱ na mo ̱ nge ̱ le ̱ mudio mupe ̱ pe ̱ dibo ̱ to ̱ la dikalo jalono ̱ o da wuma iwo ̱ o pond 'a wumse ̱ .
"However , like Gaius , we can in some way support and encourage those who do travel , such as the circuit overseer and his wife .","Nde , kapo ̱ ka Gayo je ná o nin mbadi to ̱ nine ̱ di sue ̱ le ̱ na jembe ̱ be ̱ n ka muboled 'ebondo na munj 'ao ."
"But Jehovah does not make racial distinctions , and before too long the congregations became racially integrated .","Nde kana Yehova a titino ̱ ndando , nika e s 'alo oboso pond 'a bwaba , na myemba mi lata , bakala na mīndo wuma iwo ̱ ."
But what will help us to do this ?,Nde nje e me ̱ nde ̱ jongwane ̱ biso ̱ o bola nika e ?
"In the meantime , we should bolster our faith in Jehovah , who through Jesus assured us that the dead in God 's memory will rise .","Nde oboso ná nika e mapo ̱ , jangame ̱ n o bata jouse ̱ dube ̱ lasu na Yehova , ńena nu boli biso ̱ mbaki tongwea na Yesu ná bawedi bena be o mo ̱ nge ̱ le ̱ ma Loba ba me ̱ nde ̱ pumbwabe ̱ le ̱ ."
"But you always get outstanding benefits : You gain confidence , you feel closer to Jehovah , and you earn the respect of those who love you . ""","Nde tombwane ̱ le bonde ̱ ne ̱ : O matombwane ̱ lakisane ̱ , o bata sisea be ̱ be ̱ na Yehova , o tombwane ̱ pe ̱ edub 'a ba ba to ̱ ndi wa . """
"Love moves us to put others ' interests ahead of our own , even when that means putting aside what we may feel is a legal right . - 1 Cor .","Ndolo e matute ̱ le ̱ biso ̱ o se ̱ le ̱ pulise ̱ bwam ba bane ̱ buka basu , to ̱ e be ̱ nde ná jangame ̱ n jese ̱ le ̱ nje di be ̱ nno ̱ bwam o bola . - 1 Kor ."
Love is the greatest of all qualities .,Ndolo nde ńe ede ̱ mo e kolo buka be ̱ se ̱ .
How can we overcome barriers that may hinder us from being hospitable ?,Ne ̱ ni jeno ̱ ná di buka mikidi mi meke ̱ biso ̱ o kasane ̱ mō ̱ na nune ̱ e ?
How can we win the prize as a family ?,Ne ̱ ni jeno ̱ ná di kusa bowe ̱ n mwemba na mbia masu e ?
How can we bear fruit ?,Ne ̱ ni jeno ̱ ná di ya bepuma e ?
That allowed time to converse beyond just saying a simple greeting .,"Nika e mongwane ̱ ná di si somane ̱ le ̱ buka te ̱ , nde ná di kwalisane ̱ le ̱ . """
Explain . That is not to say that compassion is to be shown in every situation .,Nika e si mapula kwala ná jangame ̱ n lee ̱ le ̱ ndedi o bete ̱ medi be ̱ se ̱ .
Who shared in it ?,Nja pe ̱ nu no ̱ ngi dongo oten e ?
What do we need to bear in mind when exercising our freedom to make personal choices ?,Nje di s 'angame ̱ nno ̱ dimbea ke ̱ di mabolane ̱ wonj 'asu o po ̱ so ̱ mambo ma mombweye ̱ biso ̱ e ?
"Understandably , we are in a better position to cope if we can identify the causes of our problems or tribulations .","Nje ye mbale ̱ ye nde ná , je nde ná di we ̱ le ̱ lembe ̱ mitakisan masu to ̱ so ̱ ndut 'asu bwam yete ̱ na di bi we ̱ ni mi mawano ̱ ."
What practical lesson can we draw from the experience of Jehoshaphat ?,Njika belēdi ba longe ̱ jeno ̱ ná di busane ̱ o nje e kweledi Yosafat e ?
What are the limits of his power ?,Njika myoyo ngiń 'ao e be ̱ nno ̱ e ?
"Then in the second article , we will consider how we can cultivate spirituality and put it to work in our daily lives .","O jokwa di londe ̱ maba , di me ̱ nde ̱ jombwea ne ̱ ni jeno ̱ ná di be ̱ mot 'a mudī , na we ̱ le ̱ pe ̱ nika o ebolo buńa te ̱ ."
"In addition , the Devil seems determined to make as many people as possible forget God 's name .","O mbat 'a nika , Diabolo a mabola me ̱ se ̱ na me ̱ se ̱ ná jita la bato di si bia dina la Loba . ( Yer ."
"At that time the people were "" shouting so loudly that the sound was heard from a great distance . ""","O ni ponda tumba di ta di "" to ̱ ise ̱ kańena mumban mu ta mu sengabe ̱ etum . """
"At such times , we may yearn for someone who makes us feel needed .",O niponda mudī mu sibino ̱ biso ̱ je ná di be ̱ ne ̱ ńo ̱ ng 'a moto nu makwangwe ̱ le ̱ biso ̱ ńolo .
"By the time of Noah 's great - grandfather Enoch , people had become very ungodly .","O pond 'a Heno ̱ k mbamb 'a Noa , bato ba si ta pe ̱ ba bwa Loba bo ̱ ngo ̱ ."
Faithful worshippers of Jehovah have long used music as a way to praise Jehovah .,"O ponda ye ̱ se ̱ , baboledi ba jemea ba Loba ba mabolane ̱ musiki o sesa Yehova ."
"Do you like making your own decisions , or do you prefer that others decide for you ?","O to ̱ ndi no ̱ ngo ̱ bedomsedi na wame ̱ ne ̱ , to ̱ so ̱ ná bane ̱ nde ba no ̱ nge mo ̱ o epol 'ango ̱ e ?"
"Recall this inspired proverb : "" The one walking with the wise will become wise , but the one who has dealings with the stupid will fare badly . ""","O ̱ nge ̱ le ̱ mun munia mu mawe ̱ na Loba ná : "" Mudangwane ̱ badibie ̱ a matimba dibie ̱ , nde nu nu malate ̱ na belemā a mańama . "" ( Min ."
"Consider , too , that God 's dearly beloved Son - "" the one he was especially fond of "" - died an agonizing death .","O ̱ nge ̱ le ̱ pe ̱ ná Mun 'a Loba ńa ndolo - "" nu a tano ̱ a to ̱ ndo ̱ tobotobo "" - a wedi kwed 'a konjo . ( Min ."
"Consequently , appreciate Jehovah 's provision of "" gifts in men , "" congregation elders .","Ońola nika , di timbise ̱ le ̱ Yehova masoma ońola ' mabea ma bato , ' nika ná batudu , a bolino ̱ biso ̱ ."
Why is it important for us to be present at the Memorial if at all possible ?,Ońola nje yeno ̱ biso ̱ mweńa o jukea o Jo ̱ nge ̱ le ̱ la kwed 'a Yesu yete ̱ na e we ̱ li be ̱ e ?
Because lies have been one of Satan 's most effective weapons .,Ońolana mpoṅ mwe nde ewesan a ngińa ewo ̱ ya Satan .
"In some cases , we may not be able to undo our mistakes .",Ponda iwo ̱ di titi ná di we ̱ le ̱ dimse ̱ mawuse ̱ masu .
Satan cannot force people to act against their own will .,Satan a titi ná a ńakisane ̱ bato ba benama o bola nje ba si mapulano ̱ bola .
"In rebelling against Jehovah 's sovereignty , he and the first human couple acted arrogantly .",Satan na mome na mut 'a boso ba lee ̱ le ̱ kumba ponda ba kwe ̱ mno ̱ byanedi ba Yehova . ( Yer .
"My first pioneer assignment was Quetta , a former British military outpost .","Wum 'a boso na lomabe ̱ no ̱ ka paonia e ta nde o Quetta , epol 'a betatedi ya sonj 'a Inglisi ."
"The building did , in fact , become known as Solomon 's temple , not David 's .","Ye mbale ̱ ná ni ndabo e timbi pe ̱ nde biane ̱ ka tempe ̱ l a Salomo , seto ̱ ńa David ."
"Jehovah will help us to collect precious new truths into our "" treasure store "" if we search for them as for hidden treasures .","Yehova a me ̱ nde ̱ jongwane ̱ biso ̱ ná di ko ̱ te ̱ le ̱ mbale ̱ ye tiki o "" mawuta masu ma bema "" yete ̱ na di wasi mo ̱ ka m 'bwaṅ ma tiki mu wutame ̱ ."
Jehovah made every effort to keep pure worship clean ( See paragraphs 16 - 18 ),Yehova a we ̱ ná a kombe ̱ jowe ̱ lao bosangi ( Ombwa mongo 16 - 18 )
"John said : "" It was in behalf of his name that they went out . ""","Yohane a kwali ná : "" Ebanja ońola di dina nde ba busino ̱ . """
the role of the elders in helping a person recover from a serious sin ?,ebolo batudu ba be ̱ nno ̱ o jongwane ̱ moto nu boli bobe bonde ̱ ne ̱ ná ate ̱ le ̱ e ?
His baptism symbolized the presenting of himself to do God 's will . - Heb .,( 1 Pet . 2 : 22 ) Dubise ̱ lao di ta nde eyemban a bake ̱ la mo ̱ me ̱ ne ̱ na Loba o bola jemea lao . - Bon .
"Persecution has caused some refugees to become withdrawn , and they may feel ashamed to talk about their suffering , especially in the presence of their children .","( 1 Pet . 3 : 8 ) Mitakisan mi boli bawase ̱ diwutamea bō ̱ ná ba we ̱ nge ̱ me ̱ ye ̱ ńolo , be ná ba bwa iso ̱ n o kwalea ońola taka labu , sepo ̱ n oboso ba bana babu ."
"Moreover , angels actively promoted and accelerated the preaching work that the governing body was overseeing .","( Bebolo 11 : 13 - 18 ) O mbat 'a nika , ange ̱ l i sue ̱ le ̱ na batea ebol 'a dikalo ngińa yena dibe ̱ le ̱ di madie ̱ le ̱ di tano ̱ lombwea ."
"If we are resolved to do God 's will , there is nothing Satan can do to break our integrity . - Job 2 : 3 ; 27 : 5 .","( Bebolo 3 : 17 ; 17 : 30 ) Yete ̱ na di no ̱ ngi bedomsedi ba bola jemea la Loba , Satan a titi ná a bola to ̱ lambo o ńamse ̱ mulatako masu na Loba . - Hiob 2 : 3 ; 27 : 5 ."
( Read 1 Kings 17 : 17 - 24 . ),( Langa 1 Kiṅe ̱ 17 : 17 - 24 . )
( Read Romans 5 : 3 - 5 . ),( Langa Roma 5 : 3 - 5 . )
( b ) How do we know that Timothy was persuaded to believe the good news about Jesus ?,( b ) Ne ̱ ni di bino ̱ ná Timoteo a ta a bake ̱ bwam myango ma bwam jombwea Yesu e ?
* How did the king react ?,* Nje kiṅe ̱ e bolino ̱ e ?
13 Life Story - Endurance Under Trial Results in Blessings,13 Myango ma Longe ̱ - Titimbe ̱ owas 'a mitakisane mawana minam
"Jehovah treats his friends with kindness , and he expects no less from us .",25 : 14 ) Loba a to ̱ ndi mo ̱ .
"Our endurance produces "" an approved condition "" and strengthens our hope .","27 : 11 ) We ̱ lisane ̱ lasu di maya "" bebukedi o kekise ̱ "" na sikime ̱ ye ̱ pe ̱ dipita lasu ."
Jacob 's words and actions reveal that he had God 's standards and will in mind .,28 : 10 - 15 ) Byala na beboledi ba Yakob be malee ̱ ná a ta a bia bete ̱ sedi na jemea la Loba .
3 Are You Willing to Wait Patiently ?,3 O le ̱ le ̱ m o we ̱ lisane ̱ e ?
God treats his human servants with dignity and respect .,"34 : 6 ) Loba a dilise ̱ bewekedi bao , a mabola pe ̱ babo ̱ edube ."
This means that they make an effort to have Jehovah 's thinking on matters and to look at things from his point of view .,"5 : 1 ) Nika ńe nde ná ba mawe ̱ o be ̱ ne ̱ mo ̱ nge ̱ le ̱ ma Yehova , na je ̱ ne ̱ mambo kapo ̱ ka mo ̱ ."
He might appreciate help to follow the program and perhaps to find scriptures being read .,"A me ̱ nde ̱ be ̱ muńe ̱ nge ̱ o bupe ̱ ekwali to ̱ jokwa , na mo ̱ me ̱ ne ̱ so ̱ bepasi ba Bibe ̱ l be o langabe ̱ ."
"Anita adds : "" At times , with a twinkle in my eyes , I tell younger sisters , ' Put on your backpack and join me in the greatest adventure of all time ! '","Anita a bati pe ̱ ná : "" Ponda iwo ̱ , na yo ̱ ki po ̱ lime ̱ ye ̱ bonańango be beso ̱ mbe ̱ diso ̱ , mba na babo ̱ ná : ' bińo ̱ to ̱ jale !"
They realize the seriousness of humbly living up to their solemn vow for as long as they remain in special full - time service .,Ba maso ̱ ṅtane ̱ mweńa ma londise ̱ kakane ̱ labu na sibise ̱ la ńolo etum te ̱ beno ̱ o ebol 'a pond 'a mususu ya tobotobo .
"They trusted in the promise found at Psalm 37 : 5 : "" Commit your way to Jehovah ; rely on him , and he will act in your behalf . ""","Ba ta ba lakisane ̱ kakane ̱ di nanga o Myenge 37 : 5 : "" Bake ̱ Yehova mangea mo ̱ ngo ̱ , pite ̱ pe ̱ na mo ̱ , nde mo ̱ a me ̱ nde ̱ yue ̱ le ̱ mo ̱ . """
They are focused on accumulating wealth or on holding on to what they have .,Ba walame ̱ ne ̱ nde babo ̱ me ̱ ne ̱ o ko ̱ te ̱ le ̱ la m 'bwaṅ to ̱ so ̱ o tingame ̱ o nje ba be ̱ nno ̱ .
"These advise against the use of carnal weapons , such as handguns , rifles , or other firearms , for protection against other humans .","Be bete ̱ sedi be mate ̱ nge ̱ ne ̱ bolane ̱ la belongisan ba bila , ka ngadi , to ̱ so ̱ belongisan bepe ̱ pe ̱ , o tata mo ̱ me ̱ ne ̱ te ̱ nge ̱ ne ̱ bane ̱ bato ."
They encouraged him to persevere and to rely on holy spirit to help him become a good spiritual head .,Bembe ̱ mo ̱ o benga po ̱ ngo ̱ miwe ̱ n na baise ̱ pe ̱ jongwane ̱ la mudī - musangi ná a londise ̱ m 'bē ̱ mao ma mudī ńai a bwam .
The Bible does not specify when their friendship began .,Bibe ̱ l e si malangwa ná te ̱ ite ̱ i njika ponda mulatako mabu ma diko ̱ m mu botedino ̱ .
"As members of the Christian congregation , we are part of God 's household .",Biso ̱ Kriste ̱ n je nde belongi ba ndabo a Loba .
"May all of us , young or old , keep on "" having plenty to do in the work of the Lord . "" - 1 Cor .","Biso ̱ be ̱ se ̱ so ̱ , beso ̱ mbe ̱ na ba ba máno ̱ nge ̱ mimbu , di benge "" be ̱ ngińa o ebol 'a Sango . "" - 1 Kor ."
"Huge home mortgages , lingering student loans , expensive car payments , even extravagant weddings can result in great financial pressure .","Di malee ̱ le ̱ jangwa ke ̱ di wamse ̱ longe ̱ lasu , di wutise ̱ pe ̱ no ̱ ngo ̱ la beto ̱ m na busise ̱ la mo ̱ ni ."
"When we forgive others , we prove ourselves to be peacemakers .",Di malee ̱ le ̱ ná je bakome ̱ musango ke ̱ di malakise ̱ bane ̱ .
"How thankful we are that Jehovah grants us "" the peace of God , "" an inner calm that can protect us from disturbing thoughts and feelings !","Di masoma Yehova ná a boli biso ̱ "" musango ma Loba , "" musango ma teten mwena mwe ná mu kombe ̱ biso ̱ ke ̱ di be ̱ n mo ̱ nge ̱ le ̱ to ̱ besengedi ba bobe be matakise ̱ biso ̱ . ( Fil ."
"As full - time ministers , we special pioneers expected to receive the same exemption as other religious ministers .","Di ta jo ̱ nge ̱ le ̱ ná nika jeno ̱ paonia ya tobotobo , ba si me ̱ nde ̱ baise ̱ biso ̱ ná di sue ̱ le ̱ bila , ka nje te ̱ ba bolino ̱ ońola baboledi ba tobotobo ba bebasi bepe ̱ pe ̱ ."
What if married life proves to be more challenging than expected ?,Diba le ná di si be ̱ nje moto a tano ̱ o ̱ nge ̱ le ̱ .
This worldly idea may sound appealing to many people .,Din jo ̱ nge ̱ le ̱ la wase le ná di lo ̱ ndo ̱ jita la bato .
"A Bethelite named Dustin reports : "" I made full - time service my goal when I was nine years old , and I started pioneering when I finished school .","Dustin ńe o ebolo o Bete ̱ l mo ̱ ná : "" Na no ̱ ngi bedomsedi ná na me ̱ nde ̱ nde be ̱ o ebol 'a pond 'a mususu ke ̱ na be ̱ n nde mbu 9 , na botedi pe ̱ nde ebol 'a paonia ponda na bo ̱ le ̱ no ̱ esukulu ."
I took it for granted .,E ta nde mba ka jabea ná mábo ̱ le ̱ no ̱ kusa .
Jehovah 's exercise of self - control teaches us that we too ought to weigh our words and consider our steps carefully ; we should not rush into things .,"Jalea la ńolo la Yehova di mokwe ̱ le ̱ biso ̱ ná di no ̱ nge ponda o me ̱ ne ̱ byala na matanga masu , na ná di si be ̱ wadiwadi ."
"We can increasingly act with wisdom , insight , and understanding if we take the time to "" ponder over "" God 's laws and principles .","Je ná di bata lee ̱ dibie ̱ , so ̱ ṅtane ̱ na ye ̱ ne ̱ o beboledi basu yete ̱ na di no ̱ ngi ponda o "" dutea "" o mambenda na bete ̱ sedi ba Loba ."
"For instance , because Noah "" walked with the true God , "" he did not walk , or associate , with the ungodly .","K 'eyembilan , kana Noa ' a tano ̱ a dangwa na Loba ' la mbale ̱ , a si dango to ̱ be ̱ ne ̱ mulatako na ba ba si be ̱ n bo ̱ ngo ̱ ba Loba ."
"For example , in 1932 , 23 - year - old Bennett Brickell set out from Rockhampton , Queensland , on a five - month preaching trip through the remote northern part of that state .","K 'eyembilan , o mbu má 1932 , Benet Brikel nu ta bodun ba 23 a ta asumwe ̱ o Rokhampton , Kwinsland , wala o epas 'a pongo ya mu mundi o lo ̱ ndo ̱ la dikalo la myo ̱ di mitanu ."
"As a consequence of rebelling against Jehovah , they died and returned to the dust from which they had been created . - Gen .","Kana ba pamono ̱ Yehova , ba wedi ba timba o mińangadu mena na mo ̱ nde ba wekabe ̱ no ̱ . - Bbo ."
"All Christians should want to move "" beyond the primary doctrine about the Christ "" and to "" press on to maturity . ""","Kriste ̱ n ye ̱ se ̱ yangame ̱ n wasa "" jese ̱ le ̱ mambo maboso ma belēdi ba Kristo , "" ná i "" siseye oboso o mambo masam . "" ( Bon ."
Jehovah 's counsel would continue to benefit Job even after his trials were over .,Malea ma Yehova ma bengi be ̱ Hiob muse ̱ ṅ nate ̱ na mo ̱ me ̱ ne ̱ ombusa mitakisan mao .
"Could it have been because of his "" vast riches and glory "" ?","Mo ̱ , nga ye nde ońola ná a ta a be ̱ ne ̱ "" m 'bwaṅ munde ̱ ne ̱ , a be ̱ ne ̱ pe ̱ edube jita "" e ?"
A widow may need help with some repairs on her home .,Mukusa mō ̱ mwe ná mu be ̱ ne ̱ ńo ̱ ng 'a jongwane ̱ o po ̱ ngulane ̱ nje e ńam o ndabo ao .
My wife had stretched out on a sofa to rest while we were talking about the day 's activity .,Munj 'am a ta a nanga o konda ná a wumse ̱ son ke ̱ je o kwalea ońola ne ̱ ni ebol 'asu e tombino ̱ bo buńa .
"One of her clients was a woman named Aksamai Sultanalieva , who was married to an official of the public prosecutor 's office .",Muto mō ̱ Aksamai Sultanalieva nu ta nde munj 'a muboled 'a go ̱ bina o o ̱ fis a lo ̱ y 'a go ̱ bina a ta be ̱ a wanea mo ̱ mbango .
"The prophet could have asked Jehovah to clarify His instructions , but the Scriptures do not say that he did so .","Muto ̱ ped 'a mudī a ta angame ̱ n baise ̱ Yehova ná a bate tele ̱ ye ̱ mo ̱ byanedi a bolino ̱ mo ̱ , nde Bibe ̱ l e si makwala ná a boli nika ."
"God "" began bringing them to the man to see what he would call each one . ""","Na Loba "" a wanea mo ̱ moto o je ̱ ne ̱ ne ̱ ni eno ̱ ná a bola mo ̱ mina . """
I got better acquainted with my customers ' tastes and became more skillful in making ice cream .,"Na timbi ko ̱ lo ̱ ngo ̱ ne ̱ bande ̱ ńung 'am , na mba na bata pe ̱ te ̱ bia po ̱ ngo ̱ ma miliki ma koki ."
"To my surprise , one day my teacher tried to shame me by saying that I was a coward .","Na ńaki buńa bō ̱ ponda mulēd 'am a kekino ̱ bwese ̱ mba iso ̱ n , a kwala ná mba ne nde ńabo ̱ ngo ̱ ."
"However , he was out of favor with the Nazis .",Nde a si ta a do ̱ lisane ̱ badiedi ba Nasi .
But what if you find it hard to study God 's Word ? Perhaps you do not consider yourself to be studious .,"Nde nje wangame ̱ nno ̱ bola yete ̱ na ye wa ndutu o jokwa Eyal 'a Loba e , to ̱ so ̱ ná o si to ̱ ndi jokwa la Bibe ̱ l e ?"
How did Peter benefit from Jehovah 's forgiveness ?,Ne ̱ ni Petro a tombwane ̱ no ̱ lakise ̱ la Yehova e ?
How can elders and family heads imitate Jehovah ?,Ne ̱ ni batudu na milopo ma mbia beno ̱ ná bembilane ̱ Yehova e ?
the way we view ourselves ?,Ne ̱ ni jeno ̱ ná di po ̱ ngulane ̱ mbadi di me ̱ ne ̱ no ̱ biso ̱ me ̱ ne ̱ e ?
How is Jehovah 's purpose for obedient mankind reflected in the model prayer ?,Ne ̱ ni mwano ma Yehova ońola mbel 'a moto ńe sengane ̱ mu me ̱ ne ̱ ne ̱ no ̱ o patan a muka e ?
How Was Fire Transported in Ancient Times ?,"Ne ̱ ni wea i tano ̱ be ̱ i "" bambabe ̱ "" o mińa ma Bibe ̱ l e ?"
How can you help your children if your language ability is limited ?,Ne ̱ ni weno ̱ ná wongwane ̱ bana bo ̱ ngo ̱ yete ̱ na bia lo ̱ ngo ̱ l 'eyeme ̱ ewo ̱ di wuto e ?
This is the first time that archaeologists have found this name in an ancient inscription .,Nged 'a boso nin bamuwaso ba maso ̱ no ̱ din dina di tilabe ̱ o ewa ya kwaṅ .
How good it is that you have your goal clearly in mind - finding the bus that is going to your chosen destination !,Nika ńe bwam ná o bi njika mutoa wangame ̱ nno ̱ no ̱ ngo ̱ na we ̱ ni wala !
What can you do if the adjustment is harder than you expected ?,Nje weno ̱ ná o bola yete ̱ ná ko ̱ lo ̱ ngo ̱ ne ̱ la mo ̱ le ndutu buka nje o tano ̱ wenge ̱ le ̱ e ?
"In 33 C.E . , the resurrected Jesus appeared to a crowd of more than 500 men , women , and possibly even children .","O mbu 33 P.A . , Yesu nu pumbo a busedi dimuti la buka 500 ba bato , bome , bito , pondapo ̱ na mo ̱ me ̱ ne ̱ bana ."
"In what sense is Jesus ' yoke kindly , and how should knowing that affect us ?","O njika mbadi eko ̱ ko ̱ s 'a Yesu e s 'ambino ̱ e , ne ̱ ni pe ̱ bia la nika di membe ̱ no ̱ biso ̱ e ?"
"Before going out to combat the Ammonites , Judge Jephthah vowed that if Jehovah gave him the victory , the first person who would come out to meet him after the battle would be devoted to Jehovah 's service at the sanctuary .","Oboso ná a mala janane ̱ Bonaamon , mukaisedi Yefta a ta a bola Yehova kakane ̱ ná , a boli te ̱ mo ̱ bebukedi , mot 'a boso nu me ̱ nde ̱ buse ̱ o ndabo ao o po ̱ kasa mo ̱ , a mabola mo ̱ mo ̱ ka jabea la dise ̱ ."
"After Jesus fed about 5,000 men , he sensed the mood among the people .","Ombusa Yesu dese ̱ 5 000 la bato , dimuti di puli damea mo ̱ ."
"Additionally , why not learn a few phrases that may capture their interest ?","Omo ̱ ń a nika , we pe ̱ ná wokwa ngus 'a byala be ná be bola ná ba lambe ̱ ye ̱ wa toi ."
Why did she think so ?,Ońola nje a tano ̱ o ̱ nge ̱ le ̱ nika e ?
Why may the idea that man can solve his own problems sound appealing ?,"Ońola nje din jo ̱ nge ̱ le ̱ ná , mot 'a benama e ná a bo ̱ le ̱ mitakisan mao di malo ̱ ndo ̱ ne ̱ no ̱ e ?"
"When I was born , my father was working for one of the local farmers .",Ponda na yabe ̱ no ̱ sango am a ta nde a bolea mube ̱ ne ̱ myonda mō ̱ o mu mundi .
Modesty can also help us to make good decisions even when we cannot fully know or control how things will turn out .,"Sibise ̱ la ńolo je pe ̱ ná jongwane ̱ biso ̱ o no ̱ ngo ̱ bedomsedi ba bwam to ̱ e be ̱ nde ná di si bi ná te ̱ ite ̱ i ne ̱ ni mambo ma me ̱ nde ̱ no ̱ be ̱ , to ̱ be ̱ ne ̱ ngudi o yue ̱ le ̱ mo ̱ ."
"Still , one might ask : ' Does my individual effort really matter ?",To ̱ na nika moto e te ̱ nde ná a baise ̱ ná : ' Mo ̱ miwe ̱ n mam me mweńa e ?
"Uzziah , a king of Judah , proved faithful for years .","Usia , kiṅ 'a Yuda , a ta jemea mimbu jita ."
The world under Satan 's influence is still searching for a way to settle national and international disputes .,Wase ńe owas 'a byanedi ba Satan e dia te ̱ nde e mawasa ne ̱ ni bo ̱ le ̱ mitango oteten a bekombo na oteten a matumba .
"For many years , there was only one elder .",Ye jita la mimbu ba ta nde ba be ̱ ne ̱ mutudu mō ̱ .
"Understandably , then , it can be difficult to know what to say to someone who is overwhelmed by grief . Nevertheless , the Bible states that "" the tongue of the wise is a healing . ""","Ye mbale ̱ ná ye ná e be ̱ ndutu o bia nje kwalisane ̱ moto ndutu e bukino ̱ .Nde Bibe ̱ l e makwala ná : "" Eyem 'a badibie ̱ e majesane ̱ bwam . "" ( Min ."
"No doubt , he took the time to consider what the consequences would be if he were to lower his guard .","Ye ̱ ke ̱ i te ̱ , a no ̱ ngi ponda o dutea jombwea betune ̱ be wusa ko ̱ ye ̱ mo ̱ ke ̱ emedi ."
Adam and Eve no doubt felt the same .,Ye ̱ ke ̱ i te ̱ Adam na Eva pe ̱ ba sengi nde mulemlem .
Surely they need our persistent petitions in their behalf !,Ye ̱ ke ̱ i te ̱ ba be ̱ n ńo ̱ ngi ná di be ̱ titimbe ̱ o kane ̱ ońol 'abu .
Jehovah had long before warned that such a thing could happen . - Ex .,Yehova a ta a máboṅe ̱ le ̱ babo ̱ etum oboso ba ponda ná ninka lambo ńena e bolane ̱ . - Bbu .
